time,pressure,temp,depth
2023-12-13 12:51:56.960562,1010.0,23.59,-0.03
2023-12-13 12:51:57.252010,1010.2,23.59,-0.03
2023-12-13 12:51:57.545483,1010.1,23.59,-0.03
2023-12-13 12:51:57.837834,1009.8,23.59,-0.03
2023-12-13 12:51:58.130190,1009.6,23.59,-0.03
2023-12-13 12:51:58.421814,1009.4,23.59,-0.04
2023-12-13 12:51:58.715068,1009.7,23.59,-0.03
2023-12-13 12:51:59.007192,1010.4,23.59,-0.03
2023-12-13 12:51:59.299829,1010.1,23.59,-0.03
2023-12-13 12:51:59.591531,1010.1,23.59,-0.03
2023-12-13 12:51:59.884949,1010.2,23.59,-0.03
2023-12-13 12:52:00.176934,1010.1,23.59,-0.03
2023-12-13 12:52:00.470404,1010.2,23.59,-0.03
2023-12-13 12:52:00.761532,1010.1,23.59,-0.03
2023-12-13 12:52:01.054621,1010.4,23.59,-0.03
2023-12-13 12:52:01.347296,1009.4,23.59,-0.04
2023-12-13 12:52:01.639463,1009.3,23.59,-0.04
2023-12-13 12:52:01.932326,1010.1,23.59,-0.03
2023-12-13 12:52:02.223950,1010.2,23.59,-0.03
2023-12-13 12:52:02.517927,1009.8,23.59,-0.03
2023-12-13 12:52:02.809183,1010.1,23.59,-0.03
2023-12-13 12:52:03.101533,1009.7,23.59,-0.03
2023-12-13 12:52:03.394546,1009.8,23.59,-0.03
2023-12-13 12:52:03.686351,1009.7,23.59,-0.03
2023-12-13 12:52:03.980373,1009.5,23.59,-0.04
2023-12-13 12:52:04.271560,1009.7,23.59,-0.03
2023-12-13 12:52:04.565316,1009.4,23.59,-0.04
2023-12-13 12:52:04.857408,1010.2,23.59,-0.03
2023-12-13 12:52:05.149781,1009.6,23.59,-0.03
2023-12-13 12:52:05.441993,1009.8,23.59,-0.03
2023-12-13 12:52:05.733833,1009.8,23.59,-0.03
2023-12-13 12:52:06.027783,1010.9,23.59,-0.02
2023-12-13 12:52:06.319809,1009.8,23.59,-0.03
2023-12-13 12:52:06.637941,1009.7,23.59,-0.03
